"ensembl" "symbol" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"1" "ENSG00000095303.16" "PTGS1" 528.042398755022 -1.08345367979098 0.178019039392393 -6.08616743180379 1.15645505814072e-09 1.00707465758387e-05
"2" "ENSG00000136244.12" "IL6" 1011.55702241855 2.72246973460762 0.448994912941795 6.06347567897845 1.3321093354284e-09 1.00707465758387e-05
"3" "ENSG00000134072.11" "CAMK1" 79.5449492214933 -1.91018910697982 0.343913249374856 -5.55427599969482 2.78764729270502e-08 0.000140497423552333
"4" "ENSG00000164400.6" "CSF2" 172.819927135767 3.0587948251697 0.55791222048567 5.48257362512506 4.19182455139282e-08 0.000158450968042648
"5" "ENSG00000196839.13" "ADA" 313.361859607267 1.7081956274172 0.315305313326875 5.41759226761373 6.04069779686815e-08 0.000182670701377293
"6" "ENSG00000137757.11" "CASP5" 47.9346673706541 1.79645304209271 0.343893699320243 5.22386145964195 1.75229904065656e-07 0.000441579358245452
"7" "ENSG00000108342.12" "CSF3" 480.794067968206 2.26402054442706 0.461767139572819 4.90294858686027 9.44087003140051e-07 0.0017843244359347
"8" "ENSG00000106330.12" "MOSPD3" 20.6169177005165 -1.17842400961472 0.242317680492943 -4.86313671877953 1.15539981639271e-06 0.00194107169153975
"9" "ENSG00000286256.1" "AC084871.4" 22.1429160821216 1.62646997165638 0.338881308501097 4.7995269460284 1.59040837857577e-06 0.00237797385926332
"10" "ENSG00000135678.12" "CPM" 808.766096085821 1.15488979661685 0.241474962494693 4.78264820785399 1.73000743729474e-06 0.00237797385926332
"11" "ENSG00000117090.15" "SLAMF1" 244.097287706606 2.13612101238497 0.450932173187794 4.73712265257988 2.1677397980303e-06 0.00273135214551818
"12" "ENSG00000251230.5" "MIR3945HG" 223.334938110221 1.54019575023415 0.32785941697948 4.69773223055097 2.63065998663351e-06 0.00284111278556419
"13" "ENSG00000026751.17" "SLAMF7" 3938.87817419333 1.01556661227235 0.221360702008939 4.58783606600296 4.47864101144805e-06 0.00398335600547614
"14" "ENSG00000140368.12" "PSTPIP1" 27.0835041200033 -1.43484551255554 0.315811529241804 -4.54336013634554 5.53645443951815e-06 0.00465062172919525
"15" "ENSG00000276600.5" "RAB7B" 111.227869655406 -1.27601685998456 0.282770995913105 -4.51254505740285 6.40543213081245e-06 0.00484814202086125
"16" "ENSG00000136295.15" "TTYH3" 42.4064227625837 -1.31311974727422 0.298895191823923 -4.39324480016314 1.11671259883447e-05 0.00770084771044367
"17" "ENSG00000188042.8" "ARL4C" 134.057382349435 -1.15717113248567 0.263966100641481 -4.38378689412599 1.16633872859895e-05 0.00770084771044367
"18" "ENSG00000103490.14" "PYCARD" 109.95693812448 -1.32896474281221 0.30506387148222 -4.35634916830741 1.32249751140337e-05 0.00770084771044367
"19" "ENSG00000120217.14" "CD274" 877.506944099713 1.2295214340578 0.283084611702194 4.343300141483 1.40358166503739e-05 0.00770084771044367
"20" "ENSG00000110944.9" "IL23A" 515.002584667431 2.24806777940938 0.519813926695634 4.32475480928331 1.52701608329737e-05 0.00770084771044367
"21" "ENSG00000234883.5" "MIR155HG" 507.379032168817 1.13883278736288 0.263759933186604 4.31768682075448 1.57672936644538e-05 0.00770084771044367
"22" "ENSG00000134955.11" "SLC37A2" 159.77554261736 -1.02208932747454 0.236951828293253 -4.31348993943862 1.60697455813166e-05 0.00770084771044367
"23" "ENSG00000073756.12" "PTGS2" 643.449012864423 1.83100597719342 0.424563757456053 4.3126761176334 1.61290309911674e-05 0.00770084771044367
"24" "ENSG00000174837.15" "ADGRE1" 49.1485296831217 1.20138085976438 0.278629825883484 4.31174536306377 1.61970902956082e-05 0.00770084771044367
