"ensembl" "symbol" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"1" "ENSG00000095303.16" "PTGS1" 528.042398755022 -1.08345367979098 0.178019039392393 -6.08616743180379 1.15645505814072e-09 1.00707465758387e-05
"2" "ENSG00000136244.12" "IL6" 1011.55702241855 2.72246973460762 0.448994912941795 6.06347567897845 1.3321093354284e-09 1.00707465758387e-05
"3" "ENSG00000134072.11" "CAMK1" 79.5449492214933 -1.91018910697982 0.343913249374856 -5.55427599969482 2.78764729270502e-08 0.000140497423552333
"4" "ENSG00000164400.6" "CSF2" 172.819927135767 3.0587948251697 0.55791222048567 5.48257362512506 4.19182455139282e-08 0.000158450968042648
"5" "ENSG00000196839.13" "ADA" 313.361859607267 1.7081956274172 0.315305313326875 5.41759226761373 6.04069779686815e-08 0.000182670701377293
"6" "ENSG00000137757.11" "CASP5" 47.9346673706541 1.79645304209271 0.343893699320243 5.22386145964195 1.75229904065656e-07 0.000441579358245452
"7" "ENSG00000213722.9" "DDAH2" 178.977190510246 -0.898292219373972 0.181750830537148 -4.94243804399216 7.71516270965958e-07 0.00166647514528647
"8" "ENSG00000108342.12" "CSF3" 480.794067968206 2.26402054442706 0.461767139572819 4.90294858686027 9.44087003140051e-07 0.0017843244359347
"9" "ENSG00000106330.12" "MOSPD3" 20.6169177005165 -1.17842400961472 0.242317680492943 -4.86313671877953 1.15539981639271e-06 0.00194107169153975
"10" "ENSG00000286256.1" "AC084871.4" 22.1429160821216 1.62646997165638 0.338881308501097 4.7995269460284 1.59040837857577e-06 0.00237797385926332
"11" "ENSG00000135678.12" "CPM" 808.766096085821 1.15488979661685 0.241474962494693 4.78264820785399 1.73000743729474e-06 0.00237797385926332
"12" "ENSG00000117090.15" "SLAMF1" 244.097287706606 2.13612101238497 0.450932173187794 4.73712265257988 2.1677397980303e-06 0.00273135214551818
"13" "ENSG00000010278.14" "CD9" 903.206593242877 -0.932164910916726 0.197810113405478 -4.71242291341263 2.4478869276177e-06 0.00284111278556419
"14" "ENSG00000251230.5" "MIR3945HG" 223.334938110221 1.54019575023415 0.32785941697948 4.69773223055097 2.63065998663351e-06 0.00284111278556419
"15" "ENSG00000104320.13" "NBN" 367.237480673238 0.935326729950474 0.200314970633057 4.66928021901984 3.0225686466178e-06 0.00304674919579075
"16" "ENSG00000247596.9" "TWF2" 232.415695375041 -0.89942699271944 0.194915033002319 -4.6144567654191 3.94124803998436e-06 0.00372447939778522
"17" "ENSG00000026751.17" "SLAMF7" 3938.87817419333 1.01556661227235 0.221360702008939 4.58783606600296 4.47864101144805e-06 0.00398335600547614
"18" "ENSG00000140368.12" "PSTPIP1" 27.0835041200033 -1.43484551255554 0.315811529241804 -4.54336013634554 5.53645443951815e-06 0.00465062172919525
"19" "ENSG00000276600.5" "RAB7B" 111.227869655406 -1.27601685998456 0.282770995913105 -4.51254505740285 6.40543213081245e-06 0.00484814202086125
"20" "ENSG00000197442.10" "MAP3K5" 114.172966673564 0.915112713771848 0.202804119245522 4.51229845417479 6.41288627098048e-06 0.00484814202086125
"21" "ENSG00000136295.15" "TTYH3" 42.4064227625837 -1.31311974727422 0.298895191823923 -4.39324480016314 1.11671259883447e-05 0.00770084771044367
"22" "ENSG00000188042.8" "ARL4C" 134.057382349435 -1.15717113248567 0.263966100641481 -4.38378689412599 1.16633872859895e-05 0.00770084771044367
"23" "ENSG00000103490.14" "PYCARD" 109.95693812448 -1.32896474281221 0.30506387148222 -4.35634916830741 1.32249751140337e-05 0.00770084771044367
"24" "ENSG00000104915.15" "STX10" 60.1656271243212 -0.930859096854833 0.213874071289844 -4.35237002429026 1.34673714243313e-05 0.00770084771044367
